================== Tensiones IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Magnitud de longitud: m 

Número de elementos: 1294 

Sigma_lin = N_lin/A  

------------------------- 
 Tensiones (kN/m^2)              
------------------------- 
| Elem |    Sigma_lin   | 
|  278 |    2.84e+003   |
|  279 |    1.46e+004   |
|  280 |    3.00e+003   |
|  281 |   -1.07e+004   |
|  282 |   -2.77e+004   |
|  283 |    5.13e+003   |
|  284 |    6.41e+003   |
|  285 |    3.52e+003   |
|  286 |   -1.02e+004   |
|  287 |   -1.88e+004   |
|  288 |    1.80e+004   |
|  289 |    4.82e+003   |
|  290 |   -6.01e+003   |
|  291 |    9.54e+003   |
|  292 |   -8.57e+004   |
|  293 |    5.68e+003   |
|  294 |    3.65e+004   |
|  295 |   -4.46e+004   |
|  296 |    3.19e+004   |
|  297 |   -1.30e+005   |
|  298 |    8.32e+003   |
|  299 |    8.22e+004   |
|  300 |   -4.68e+004   |
|  301 |    2.97e+004   |
|  302 |   -1.74e+005   |
|  303 |   -4.05e+003   |
|  304 |    1.28e+005   |
|  305 |   -4.88e+004   |
|  306 |    2.77e+004   |
|  307 |   -2.02e+005   |
|  308 |   -2.66e+003   |
|  309 |    1.57e+005   |
|  310 |   -2.43e+004   |
|  311 |   -1.25e+003   |
|  312 |   -2.00e+005   |
|  313 |   -4.03e+003   |
|  314 |    1.55e+005   |
|  315 |    2.36e+003   |
|  316 |   -2.79e+004   |
|  317 |   -1.68e+005   |
|  318 |    8.19e+003   |
|  319 |    1.21e+005   |
|  320 |    3.13e+004   |
|  321 |   -5.24e+004   |
|  322 |   -1.20e+005   |
|  323 |    6.78e+003   |
|  324 |    7.16e+004   |
|  325 |    3.35e+004   |
|  326 |   -5.02e+004   |
|  327 |   -7.08e+004   |
|  328 |    8.32e+003   |
|  329 |    2.26e+004   |
|  330 |    3.35e+004   |
|  331 |   -5.01e+004   |
|  332 |   -2.14e+004   |
|  333 |   -3.12e+003   |
|  334 |   -2.63e+004   |
|  335 |    3.12e+004   |
|  336 |   -5.25e+004   |
|  337 |    2.12e+004   |
|  338 |   -7.96e+004   |
|  339 |    5.12e+004   |
|  340 |   -3.25e+004   |
|  341 |    2.99e+003   |
|  342 |   -9.73e+004   |
|  343 |    1.04e+004   |
|  344 |    2.63e+004   |
|  345 |    2.51e+003   |
|  346 |   -2.76e+004   |
|  347 |   -7.95e+004   |
|  348 |    9.87e+003   |
|  349 |    8.61e+003   |
|  350 |    2.43e+003   |
|  351 |   -2.77e+004   |
|  352 |   -6.49e+004   |
|  353 |    2.03e+004   |
|  354 |   -1.01e+004   |
|  355 |    3.87e+003   |
|  356 |   -2.63e+004   |
|  357 |    1.93e+004   |
|  358 |    7.11e+004   |
|  359 |    7.51e+004   |
|  360 |    3.35e+004   |
|  361 |    0.00e+000   |
|  362 |    0.00e+000   |
|  363 |    0.00e+000   |
|  364 |   -2.07e+005   |
|  365 |    9.14e+004   |
|  366 |    9.85e+004   |
|  367 |   -5.57e+004   |
|  368 |    1.78e+004   |
|  369 |    3.53e+004   |
|  370 |    3.53e+004   |
|  371 |   -2.28e+004   |
|  372 |   -2.28e+004   |
|  373 |   -8.08e+004   |
|  374 |   -8.08e+004   |
|  375 |    1.78e+004   |
|  376 |    1.78e+004   |
|  377 |   -2.19e+005   |
|  378 |    8.27e+004   |
|  379 |    1.04e+005   |
|  380 |   -4.90e+004   |
|  381 |    1.69e+004   |
|  382 |    2.56e+004   |
|  383 |    2.56e+004   |
|  384 |   -2.03e+004   |
|  385 |   -2.03e+004   |
|  386 |   -6.62e+004   |
|  387 |   -6.62e+004   |
|  388 |    1.69e+004   |
|  389 |    1.69e+004   |
|  390 |   -2.18e+005   |
|  391 |    8.36e+004   |
|  392 |    1.03e+005   |
|  393 |   -4.97e+004   |
|  394 |    1.69e+004   |
