================== Deformación Lineal IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Número de elementos: 1294 


Deformación con análisis lineal: 

---------------------------------- 
| Elemento |     Deformación     | 
|      257 |      -3.40e-004     | 
|      258 |       1.56e-005     | 
|      259 |       2.33e-004     | 
|      260 |       1.53e-005     | 
|      261 |      -5.31e-005     | 
|      262 |      -3.00e-004     | 
|      263 |       1.56e-005     | 
|      264 |       1.93e-004     | 
|      265 |       1.53e-005     | 
|      266 |      -5.31e-005     | 
|      267 |      -2.60e-004     | 
|      268 |       1.56e-005     | 
|      269 |       1.53e-004     | 
|      270 |       1.53e-005     | 
|      271 |      -5.31e-005     | 
|      272 |      -2.20e-004     | 
|      273 |       1.58e-005     | 
|      274 |       1.13e-004     | 
|      275 |       1.54e-005     | 
|      276 |      -5.30e-005     | 
|      277 |      -1.80e-004     | 
|      278 |       1.42e-005     | 
|      279 |       7.32e-005     | 
|      280 |       1.50e-005     | 
|      281 |      -5.34e-005     | 
|      282 |      -1.38e-004     | 
|      283 |       2.57e-005     | 
|      284 |       3.20e-005     | 
|      285 |       1.76e-005     | 
|      286 |      -5.08e-005     | 
|      287 |      -9.39e-005     | 
|      288 |       9.01e-005     | 
|      289 |       2.41e-005     | 
|      290 |      -3.00e-005     | 
|      291 |       4.77e-005     | 
|      292 |      -4.29e-004     | 
|      293 |       2.84e-005     | 
|      294 |       1.83e-004     | 
|      295 |      -2.23e-004     | 
|      296 |       1.59e-004     | 
|      297 |      -6.52e-004     | 
|      298 |       4.16e-005     | 
|      299 |       4.11e-004     | 
|      300 |      -2.34e-004     | 
|      301 |       1.48e-004     | 
|      302 |      -8.70e-004     | 
|      303 |      -2.03e-005     | 
|      304 |       6.38e-004     | 
|      305 |      -2.44e-004     | 
|      306 |       1.39e-004     | 
|      307 |      -1.01e-003     | 
|      308 |      -1.33e-005     | 
|      309 |       7.87e-004     | 
|      310 |      -1.22e-004     | 
|      311 |      -6.23e-006     | 
|      312 |      -9.99e-004     | 
|      313 |      -2.02e-005     | 
|      314 |       7.76e-004     | 
|      315 |       1.18e-005     | 
|      316 |      -1.40e-004     | 
|      317 |      -8.38e-004     | 
|      318 |       4.09e-005     | 
|      319 |       6.06e-004     | 
|      320 |       1.56e-004     | 
|      321 |      -2.62e-004     | 
|      322 |      -5.99e-004     | 
|      323 |       3.39e-005     | 
|      324 |       3.58e-004     | 
|      325 |       1.67e-004     | 
|      326 |      -2.51e-004     | 
|      327 |      -3.54e-004     | 
|      328 |       4.16e-005     | 
|      329 |       1.13e-004     | 
|      330 |       1.68e-004     | 
|      331 |      -2.51e-004     | 
|      332 |      -1.07e-004     | 
|      333 |      -1.56e-005     | 
|      334 |      -1.31e-004     | 
|      335 |       1.56e-004     | 
|      336 |      -2.62e-004     | 
|      337 |       1.06e-004     | 
|      338 |      -3.98e-004     | 
|      339 |       2.56e-004     | 
|      340 |      -1.62e-004     | 
|      341 |       1.50e-005     | 
|      342 |      -4.87e-004     | 
|      343 |       5.22e-005     | 
|      344 |       1.31e-004     | 
|      345 |       1.26e-005     | 
|      346 |      -1.38e-004     | 
|      347 |      -3.97e-004     | 
|      348 |       4.94e-005     | 
|      349 |       4.31e-005     | 
|      350 |       1.22e-005     | 
|      351 |      -1.39e-004     | 
|      352 |      -3.24e-004     | 
|      353 |       1.01e-004     | 
|      354 |      -5.03e-005     | 
|      355 |       1.93e-005     | 
|      356 |      -1.31e-004     | 
|      357 |       9.63e-005     | 
|      358 |       3.56e-004     | 
|      359 |       3.76e-004     | 
|      360 |       1.67e-004     | 
|      361 |       0.00e+000     | 
|      362 |       0.00e+000     | 
|      363 |       0.00e+000     | 
|      364 |      -1.04e-003     | 
|      365 |       4.57e-004     | 
|      366 |       4.93e-004     | 
|      367 |      -2.79e-004     | 
|      368 |       8.92e-005     | 
|      369 |       1.77e-004     | 
|      370 |       1.77e-004     | 
|      371 |      -1.14e-004     | 
|      372 |      -1.14e-004     | 
|      373 |      -4.04e-004     | 
|      374 |      -4.04e-004     | 
|      375 |       8.92e-005     | 
|      376 |       8.92e-005     | 
|      377 |      -1.10e-003     | 
|      378 |       4.14e-004     | 
|      379 |       5.18e-004     | 
|      380 |      -2.45e-004     | 
|      381 |       8.43e-005     | 
|      382 |       1.28e-004     | 
|      383 |       1.28e-004     | 
|      384 |      -1.01e-004     | 
|      385 |      -1.01e-004     | 
|      386 |      -3.31e-004     | 
|      387 |      -3.31e-004     | 
|      388 |       8.43e-005     | 
|      389 |       8.43e-005     | 
|      390 |      -1.09e-003     | 
|      391 |       4.18e-004     | 
|      392 |       5.14e-004     | 
|      393 |      -2.49e-004     | 
|      394 |       8.46e-005     | 
|      395 |       1.34e-004     | 
|      396 |       1.34e-004     | 
|      397 |      -1.02e-004     | 
|      398 |      -1.02e-004     | 
|      399 |      -3.38e-004     | 
|      400 |      -3.38e-004     | 
|      401 |       8.46e-005     | 
|      402 |       8.46e-005     | 
|      403 |      -1.09e-003     | 
|      404 |       4.17e-004     | 
|      405 |       5.15e-004     | 
|      406 |      -2.48e-004     | 
|      407 |       8.46e-005     | 
|      408 |       1.33e-004     | 
|      409 |       1.33e-004     | 
|      410 |      -1.02e-004     | 
|      411 |      -1.02e-004     | 
|      412 |      -3.37e-004     | 
|      413 |      -3.37e-004     | 
|      414 |       8.46e-005     | 
|      415 |       8.46e-005     | 
|      416 |      -1.09e-003     | 
|      417 |       4.17e-004     | 
|      418 |       5.15e-004     | 
|      419 |      -2.48e-004     | 
|      420 |       8.46e-005     | 
|      421 |       1.33e-004     | 
|      422 |       1.33e-004     | 
|      423 |      -1.02e-004     | 
|      424 |      -1.02e-004     | 
|      425 |      -3.37e-004     | 
|      426 |      -3.37e-004     | 
|      427 |       8.46e-005     | 
|      428 |       8.46e-005     | 
|      429 |      -1.09e-003     | 
|      430 |       4.17e-004     | 
|      431 |       5.15e-004     | 
|      432 |      -2.48e-004     | 
|      433 |       8.46e-005     | 
|      434 |       1.33e-004     | 
|      435 |       1.33e-004     | 
|      436 |      -1.02e-004     | 
|      437 |      -1.02e-004     | 
|      438 |      -3.37e-004     | 
|      439 |      -3.37e-004     | 
|      440 |       8.46e-005     | 
|      441 |       8.46e-005     | 
|      442 |      -1.09e-003     | 
|      443 |       4.17e-004     | 
|      444 |       5.15e-004     | 
|      445 |      -2.48e-004     | 
|      446 |       8.46e-005     | 
|      447 |       1.33e-004     | 
|      448 |       1.33e-004     | 
|      449 |      -1.02e-004     | 
|      450 |      -1.02e-004     | 
|      451 |      -3.37e-004     | 
|      452 |      -3.37e-004     | 
|      453 |       8.46e-005     | 
|      454 |       8.46e-005     | 
|      455 |      -1.09e-003     | 
|      456 |       4.17e-004     | 
|      457 |       5.15e-004     | 
|      458 |      -2.48e-004     | 
|      459 |       8.46e-005     | 
|      460 |       1.33e-004     | 
|      461 |       1.33e-004     | 
|      462 |      -1.02e-004     | 
|      463 |      -1.02e-004     | 
|      464 |      -3.37e-004     | 
|      465 |      -3.37e-004     | 
|      466 |       8.46e-005     | 
|      467 |       8.46e-005     | 
|      468 |      -1.09e-003     | 
|      469 |       4.17e-004     | 
|      470 |       5.15e-004     | 
|      471 |      -2.48e-004     | 
|      472 |       8.46e-005     | 
|      473 |       1.33e-004     | 
|      474 |       1.33e-004     | 
|      475 |      -1.02e-004     | 
|      476 |      -1.02e-004     | 
|      477 |      -3.37e-004     | 
|      478 |      -3.37e-004     | 
|      479 |       8.46e-005     | 
|      480 |       8.46e-005     | 
|      481 |      -1.09e-003     | 
|      482 |       4.17e-004     | 
|      483 |       5.15e-004     | 
|      484 |      -2.48e-004     | 
|      485 |       8.46e-005     | 
|      486 |       1.33e-004     | 
|      487 |       1.33e-004     | 
|      488 |      -1.02e-004     | 
|      489 |      -1.02e-004     | 
|      490 |      -3.37e-004     | 
|      491 |      -3.37e-004     | 
|      492 |       8.46e-005     | 
|      493 |       8.46e-005     | 
|      494 |      -1.09e-003     | 
|      495 |       4.17e-004     | 
|      496 |       5.15e-004     | 
|      497 |      -2.48e-004     | 
|      498 |       8.46e-005     | 
|      499 |       1.33e-004     | 
|      500 |       1.33e-004     | 
|      501 |      -1.02e-004     | 
|      502 |      -1.02e-004     | 
|      503 |      -3.37e-004     | 
|      504 |      -3.37e-004     | 
|      505 |       8.46e-005     | 
|      506 |       8.46e-005     | 
|      507 |      -1.09e-003     | 
|      508 |       4.17e-004     | 
|      509 |       5.15e-004     | 
|      510 |      -2.48e-004     | 
|      511 |       8.46e-005     | 
|      512 |       1.33e-004     | 
|      513 |       1.33e-004     | 
|      514 |      -1.02e-004     | 
|      515 |      -1.02e-004     | 
|      516 |      -3.37e-004     | 
|      517 |      -3.37e-004     | 
|      518 |       8.46e-005     | 
|      519 |       8.46e-005     | 
|      520 |      -1.09e-003     | 
|      521 |       4.17e-004     | 
|      522 |       5.15e-004     | 
|      523 |      -2.48e-004     | 
|      524 |       8.46e-005     | 
|      525 |       1.33e-004     | 
|      526 |       1.33e-004     | 
|      527 |      -1.02e-004     | 
|      528 |      -1.02e-004     | 
|      529 |      -3.37e-004     | 
|      530 |      -3.37e-004     | 
|      531 |       8.46e-005     | 
|      532 |       8.46e-005     | 
|      533 |      -1.09e-003     | 
|      534 |       4.17e-004     | 
|      535 |       5.15e-004     | 
|      536 |      -2.48e-004     | 
|      537 |       8.46e-005     | 
|      538 |       1.33e-004     | 
|      539 |       1.33e-004     | 
|      540 |      -1.02e-004     | 
|      541 |      -1.02e-004     | 
|      542 |      -3.37e-004     | 
|      543 |      -3.37e-004     | 
|      544 |       8.46e-005     | 
|      545 |       8.46e-005     | 
|      546 |      -1.09e-003     | 
|      547 |       4.17e-004     | 
|      548 |       5.15e-004     | 
|      549 |      -2.48e-004     | 
|      550 |       8.46e-005     | 
|      551 |       1.33e-004     | 
|      552 |       1.33e-004     | 
|      553 |      -1.02e-004     | 
|      554 |      -1.02e-004     | 
|      555 |      -3.37e-004     | 
|      556 |      -3.37e-004     | 
|      557 |       8.46e-005     | 
|      558 |       8.46e-005     | 
|      559 |      -1.09e-003     | 
|      560 |       4.17e-004     | 
|      561 |       5.15e-004     | 
|      562 |      -2.48e-004     | 
|      563 |       8.46e-005     | 
|      564 |       1.33e-004     | 
|      565 |       1.33e-004     | 
|      566 |      -1.02e-004     | 
|      567 |      -1.02e-004     | 
|      568 |      -3.37e-004     | 
|      569 |      -3.37e-004     | 
|      570 |       8.46e-005     | 
|      571 |       8.46e-005     | 
|      572 |      -1.09e-003     | 
|      573 |       4.17e-004     | 
|      574 |       5.15e-004     | 
|      575 |      -2.48e-004     | 
|      576 |       8.46e-005     | 
|      577 |       1.33e-004     | 
|      578 |       1.33e-004     | 
|      579 |      -1.02e-004     | 
|      580 |      -1.02e-004     | 
|      581 |      -3.37e-004     | 
|      582 |      -3.37e-004     | 
|      583 |       8.46e-005     | 
|      584 |       8.46e-005     | 
|      585 |      -1.09e-003     | 
|      586 |       4.17e-004     | 
|      587 |       5.15e-004     | 
|      588 |      -2.48e-004     | 
|      589 |       8.46e-005     | 
|      590 |       1.33e-004     | 
|      591 |       1.33e-004     | 
|      592 |      -1.02e-004     | 
|      593 |      -1.02e-004     | 
|      594 |      -3.37e-004     | 
|      595 |      -3.37e-004     | 
|      596 |       8.46e-005     | 
|      597 |       8.46e-005     | 
|      598 |      -1.09e-003     | 
|      599 |       4.17e-004     | 
|      600 |       5.15e-004     | 
|      601 |      -2.48e-004     | 
|      602 |       8.46e-005     | 
|      603 |       1.33e-004     | 
|      604 |       1.33e-004     | 
|      605 |      -1.02e-004     | 
|      606 |      -1.02e-004     | 
|      607 |      -3.37e-004     | 
|      608 |      -3.37e-004     | 
|      609 |       8.46e-005     | 
|      610 |       8.46e-005     | 
|      611 |      -1.09e-003     | 
|      612 |       4.17e-004     | 
|      613 |       5.15e-004     | 
|      614 |      -2.48e-004     | 
|      615 |       8.46e-005     | 
|      616 |       1.33e-004     | 
|      617 |       1.33e-004     | 
|      618 |      -1.02e-004     | 
|      619 |      -1.02e-004     | 
|      620 |      -3.37e-004     | 
|      621 |      -3.37e-004     | 
|      622 |       8.46e-005     | 
|      623 |       8.46e-005     | 
|      624 |      -1.09e-003     | 
|      625 |       4.17e-004     | 
|      626 |       5.15e-004     | 
|      627 |      -2.48e-004     | 
|      628 |       8.46e-005     | 
|      629 |       1.33e-004     | 
|      630 |       1.33e-004     | 
|      631 |      -1.02e-004     | 
|      632 |      -1.02e-004     | 
|      633 |      -3.37e-004     | 
|      634 |      -3.37e-004     | 
|      635 |       8.46e-005     | 
|      636 |       8.46e-005     | 
|      637 |      -1.09e-003     | 
|      638 |       4.18e-004     | 
|      639 |       5.15e-004     | 
|      640 |      -2.48e-004     | 
|      641 |       8.45e-005     | 
|      642 |       1.33e-004     | 
|      643 |       1.33e-004     | 
|      644 |      -1.02e-004     | 
|      645 |      -1.02e-004     | 
|      646 |      -3.37e-004     | 
|      647 |      -3.37e-004     | 
|      648 |       8.46e-005     | 
|      649 |       8.46e-005     | 
|      650 |      -1.09e-003     | 
|      651 |       4.17e-004     | 
|      652 |       5.15e-004     | 
|      653 |      -2.49e-004     | 
|      654 |       8.54e-005     | 
|      655 |       1.33e-004     | 
|      656 |       1.33e-004     | 
|      657 |      -1.02e-004     | 
|      658 |      -1.02e-004     | 
|      659 |      -3.38e-004     | 
|      660 |      -3.38e-004     | 
|      661 |       8.46e-005     | 
|      662 |       8.46e-005     | 
|      663 |      -1.09e-003     | 
|      664 |       4.23e-004     | 
|      665 |       5.15e-004     | 
|      666 |      -2.42e-004     | 
|      667 |       7.78e-005     | 
|      668 |       1.35e-004     | 
|      669 |       1.35e-004     | 
|      670 |      -1.04e-004     | 
|      671 |      -1.04e-004     | 
|      672 |      -3.36e-004     | 
|      673 |      -3.36e-004     | 
|      674 |       8.40e-005     | 
|      675 |       8.40e-005     | 
|      676 |      -1.09e-003     | 
|      677 |       3.85e-004     | 
|      678 |       5.13e-004     | 
|      679 |      -2.89e-004     | 
|      680 |       1.42e-004     | 
|      681 |       1.24e-004     | 
|      682 |       1.24e-004     | 
|      683 |      -9.05e-005     | 
|      684 |      -9.05e-005     | 
|      685 |      -3.46e-004     | 
|      686 |      -3.46e-004     | 
|      687 |       9.49e-005     | 
|      688 |       9.49e-005     | 
|      689 |      -1.05e-003     | 
|      690 |       5.45e-004     | 
|      691 |       5.48e-004     | 
|      692 |      -4.95e-005     | 
|      693 |      -4.59e-004     | 
|      694 |       1.89e-004     | 
|      695 |       1.89e-004     | 
|      696 |      -2.05e-004     | 
|      697 |      -2.05e-004     | 
|      698 |      -2.93e-004     | 
|      699 |      -2.93e-004     | 
|      700 |      -1.06e-004     | 
|      701 |      -1.06e-004     | 
|      702 |      -8.44e-004     | 
|      703 |       1.55e-004     | 
|      704 |       4.95e-004     | 
|      705 |      -2.82e-004     | 
|      706 |       3.38e-004     | 
|      707 |       1.65e-004     | 
|      708 |       1.65e-004     | 
|      709 |      -2.92e-004     | 
|      710 |       5.70e-005     | 
|      711 |      -2.47e-004     | 
|      712 |      -2.47e-004     | 
|      713 |       1.37e-004     | 
|      714 |       1.37e-004     | 
|      715 |      -8.48e-004     | 
|      716 |       3.38e-004     | 
|      717 |       4.59e-004     | 
|      718 |      -1.90e-004     | 
|      719 |       2.07e-005     | 
|      720 |       1.12e-004     | 
|      721 |       1.12e-004     | 
|      722 |      -8.28e-005     | 
|      723 |       6.79e-005     | 
|      724 |      -3.01e-004     | 
|      725 |      -3.01e-004     | 
|      726 |       4.74e-005     | 
|      727 |       4.74e-005     | 
|      728 |      -7.51e-004     | 
|      729 |       2.67e-004     | 
|      730 |       3.98e-004     | 
|      731 |      -1.70e-004     | 
|      732 |       5.58e-005     | 
|      733 |       1.09e-004     | 
|      734 |       1.09e-004     | 
|      735 |      -1.45e-004     | 
|      736 |       6.10e-006     | 
|      737 |      -2.24e-004     | 
|      738 |      -2.24e-004     | 
|      739 |       5.23e-005     | 
|      740 |       5.23e-005     | 
|      741 |      -6.63e-004     | 
|      742 |       2.35e-004     | 
|      743 |       3.08e-004     | 
|      744 |      -1.30e-004     | 
|      745 |       5.16e-005     | 
|      746 |       7.88e-005     | 
|      747 |       7.88e-005     | 
|      748 |      -1.37e-004     | 
|      749 |       1.33e-005     | 
|      750 |      -2.06e-004     | 
|      751 |      -2.06e-004     | 
|      752 |       5.20e-005     | 
|      753 |       5.20e-005     | 
|      754 |      -5.75e-004     | 
|      755 |       1.98e-004     | 
|      756 |       2.20e-004     | 
|      757 |      -9.42e-005     | 
|      758 |       5.21e-005     | 
|      759 |       5.36e-005     | 
|      760 |       5.36e-005     | 
|      761 |      -1.38e-004     | 
|      762 |       1.24e-005     | 
|      763 |      -1.79e-004     | 
|      764 |      -1.79e-004     | 
|      765 |       5.20e-005     | 
|      766 |       5.20e-005     | 
|      767 |      -4.87e-004     | 
|      768 |       1.62e-004     | 
|      769 |       1.31e-004     | 
|      770 |      -5.79e-005     | 
|      771 |       5.22e-005     | 
|      772 |       2.76e-005     | 
|      773 |       2.76e-005     | 
|      774 |      -1.38e-004     | 
|      775 |       1.26e-005     | 
|      776 |      -1.53e-004     | 
|      777 |      -1.53e-004     | 
|      778 |       5.22e-005     | 
|      779 |       5.22e-005     | 
|      780 |      -3.97e-004     | 
|      781 |       1.18e-004     | 
|      782 |       4.31e-005     | 
|      783 |      -1.96e-005     | 
|      784 |       4.94e-005     | 
|      785 |       2.14e-006     | 
|      786 |       2.14e-006     | 
|      787 |      -1.39e-004     | 
|      788 |       1.22e-005     | 
|      789 |      -1.29e-004     | 
|      790 |      -1.29e-004     | 
|      791 |       4.94e-005     | 
|      792 |       4.94e-005     | 
|      793 |      -3.24e-004     | 
|      794 |       1.77e-004     | 
|      795 |      -5.03e-005     | 
|      796 |       2.52e-005     | 
|      797 |       1.01e-004     | 
|      798 |      -2.38e-005     | 
|      799 |      -2.38e-005     | 
|      800 |      -1.31e-004     | 
|      801 |       1.93e-005     | 
|      802 |      -8.82e-005     | 
|      803 |      -8.82e-005     | 
|      804 |       1.01e-004     | 
|      805 |       1.01e-004     | 
|      806 |      -1.96e-004     | 
|      807 |      -4.57e-004     | 
|      808 |      -4.57e-004     | 
|      809 |      -1.96e-004     | 
|      810 |       1.24e-005     | 
|      811 |      -1.56e-005     | 
|      812 |       1.32e-004     | 
|      813 |       2.83e-005     | 
|      814 |       2.83e-005     | 
|      815 |      -3.98e-004     | 
|      816 |       1.06e-004     | 
|      817 |      -1.44e-005     | 
|      818 |      -1.78e-004     | 
|      819 |      -1.62e-004     | 
