================== Desplazamiento Lineal IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de longitud: m 

Número de nodos: 289 

-------------------------------------------------------- 
                   Desplazamientos (m)                 
-------------------------------------------------------- 
| Nodo |       u_x     |       u_y     |       u_z     |
|  151 |    6.12e-003  |   -2.45e-004  |    2.02e-003  |
|  152 |    1.42e-002  |    4.18e-004  |   -6.45e-003  |
|  153 |    1.40e-002  |   -2.49e-004  |    3.05e-003  |
|  154 |    2.53e-002  |    4.17e-004  |   -8.64e-003  |
|  155 |    2.51e-002  |   -2.48e-004  |    4.08e-003  |
|  156 |    3.96e-002  |    4.17e-004  |   -1.08e-002  |
|  157 |    3.94e-002  |   -2.48e-004  |    5.11e-003  |
|  158 |    5.72e-002  |    4.17e-004  |   -1.30e-002  |
|  159 |    5.70e-002  |   -2.48e-004  |    6.14e-003  |
|  160 |    7.79e-002  |    4.17e-004  |   -1.52e-002  |
|  161 |    7.77e-002  |   -2.48e-004  |    7.17e-003  |
|  162 |    1.02e-001  |    4.17e-004  |   -1.74e-002  |
|  163 |    1.02e-001  |   -2.48e-004  |    8.20e-003  |
|  164 |    1.29e-001  |    4.17e-004  |   -1.96e-002  |
|  165 |    1.29e-001  |   -2.48e-004  |    9.23e-003  |
|  166 |    1.59e-001  |    4.17e-004  |   -2.17e-002  |
|  167 |    1.59e-001  |   -2.48e-004  |    1.03e-002  |
|  168 |    1.93e-001  |    4.17e-004  |   -2.39e-002  |
|  169 |    1.93e-001  |   -2.48e-004  |    1.13e-002  |
|  170 |    2.30e-001  |    4.17e-004  |   -2.61e-002  |
|  171 |    2.30e-001  |   -2.48e-004  |    1.23e-002  |
|  172 |    2.70e-001  |    4.17e-004  |   -2.83e-002  |
|  173 |    2.70e-001  |   -2.48e-004  |    1.33e-002  |
|  174 |    3.13e-001  |    4.17e-004  |   -3.05e-002  |
|  175 |    3.13e-001  |   -2.48e-004  |    1.44e-002  |
|  176 |    3.60e-001  |    4.17e-004  |   -3.27e-002  |
|  177 |    3.59e-001  |   -2.48e-004  |    1.54e-002  |
|  178 |    4.09e-001  |    4.17e-004  |   -3.49e-002  |
|  179 |    4.09e-001  |   -2.48e-004  |    1.64e-002  |
|  180 |    4.62e-001  |    4.17e-004  |   -3.70e-002  |
|  181 |    4.62e-001  |   -2.48e-004  |    1.75e-002  |
|  182 |    5.18e-001  |    4.17e-004  |   -3.92e-002  |
|  183 |    5.18e-001  |   -2.48e-004  |    1.85e-002  |
|  184 |    5.78e-001  |    4.17e-004  |   -4.14e-002  |
|  185 |    5.77e-001  |   -2.48e-004  |    1.95e-002  |
|  186 |    6.40e-001  |    4.17e-004  |   -4.36e-002  |
|  187 |    6.40e-001  |   -2.48e-004  |    2.06e-002  |
|  188 |    7.06e-001  |    4.17e-004  |   -4.58e-002  |
|  189 |    7.06e-001  |   -2.48e-004  |    2.16e-002  |
|  190 |    7.75e-001  |    4.18e-004  |   -4.80e-002  |
|  191 |    7.75e-001  |   -2.48e-004  |    2.26e-002  |
|  192 |    8.47e-001  |    4.17e-004  |   -5.01e-002  |
|  193 |    8.47e-001  |   -2.49e-004  |    2.36e-002  |
