================== Fuerza Axial IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Número de elementos: 1294 


Fuerza Axial con análisis Lineal: 

---------------------------------- 
| Elemento |  Fuerza Axial (kN)  | 
|      444 |        5.15e+002    | 
|      445 |       -2.48e+002    | 
|      446 |        8.46e+001    | 
|      447 |        1.33e+002    | 
|      448 |        1.33e+002    | 
|      449 |       -1.02e+002    | 
|      450 |       -1.02e+002    | 
|      451 |       -3.37e+002    | 
|      452 |       -3.37e+002    | 
|      453 |        8.46e+001    | 
|      454 |        8.46e+001    | 
|      455 |       -1.09e+003    | 
|      456 |        4.17e+002    | 
|      457 |        5.15e+002    | 
|      458 |       -2.48e+002    | 
|      459 |        8.46e+001    | 
|      460 |        1.33e+002    | 
|      461 |        1.33e+002    | 
|      462 |       -1.02e+002    | 
|      463 |       -1.02e+002    | 
|      464 |       -3.37e+002    | 
|      465 |       -3.37e+002    | 
|      466 |        8.46e+001    | 
|      467 |        8.46e+001    | 
|      468 |       -1.09e+003    | 
|      469 |        4.17e+002    | 
|      470 |        5.15e+002    | 
|      471 |       -2.48e+002    | 
|      472 |        8.46e+001    | 
|      473 |        1.33e+002    | 
|      474 |        1.33e+002    | 
|      475 |       -1.02e+002    | 
|      476 |       -1.02e+002    | 
|      477 |       -3.37e+002    | 
|      478 |       -3.37e+002    | 
|      479 |        8.46e+001    | 
|      480 |        8.46e+001    | 
|      481 |       -1.09e+003    | 
|      482 |        4.17e+002    | 
|      483 |        5.15e+002    | 
|      484 |       -2.48e+002    | 
|      485 |        8.46e+001    | 
|      486 |        1.33e+002    | 
|      487 |        1.33e+002    | 
|      488 |       -1.02e+002    | 
|      489 |       -1.02e+002    | 
|      490 |       -3.37e+002    | 
|      491 |       -3.37e+002    | 
|      492 |        8.46e+001    | 
|      493 |        8.46e+001    | 
|      494 |       -1.09e+003    | 
|      495 |        4.17e+002    | 
|      496 |        5.15e+002    | 
|      497 |       -2.48e+002    | 
|      498 |        8.46e+001    | 
|      499 |        1.33e+002    | 
|      500 |        1.33e+002    | 
|      501 |       -1.02e+002    | 
|      502 |       -1.02e+002    | 
|      503 |       -3.37e+002    | 
|      504 |       -3.37e+002    | 
|      505 |        8.46e+001    | 
|      506 |        8.46e+001    | 
|      507 |       -1.09e+003    | 
|      508 |        4.17e+002    | 
|      509 |        5.15e+002    | 
|      510 |       -2.48e+002    | 
|      511 |        8.46e+001    | 
|      512 |        1.33e+002    | 
|      513 |        1.33e+002    | 
|      514 |       -1.02e+002    | 
|      515 |       -1.02e+002    | 
|      516 |       -3.37e+002    | 
|      517 |       -3.37e+002    | 
|      518 |        8.46e+001    | 
|      519 |        8.46e+001    | 
|      520 |       -1.09e+003    | 
|      521 |        4.17e+002    | 
|      522 |        5.15e+002    | 
|      523 |       -2.48e+002    | 
|      524 |        8.46e+001    | 
|      525 |        1.33e+002    | 
|      526 |        1.33e+002    | 
|      527 |       -1.02e+002    | 
|      528 |       -1.02e+002    | 
|      529 |       -3.37e+002    | 
|      530 |       -3.37e+002    | 
|      531 |        8.46e+001    | 
|      532 |        8.46e+001    | 
|      533 |       -1.09e+003    | 
|      534 |        4.17e+002    | 
|      535 |        5.15e+002    | 
|      536 |       -2.48e+002    | 
|      537 |        8.46e+001    | 
|      538 |        1.33e+002    | 
|      539 |        1.33e+002    | 
|      540 |       -1.02e+002    | 
|      541 |       -1.02e+002    | 
|      542 |       -3.37e+002    | 
|      543 |       -3.37e+002    | 
|      544 |        8.46e+001    | 
|      545 |        8.46e+001    | 
|      546 |       -1.09e+003    | 
|      547 |        4.17e+002    | 
|      548 |        5.15e+002    | 
|      549 |       -2.48e+002    | 
|      550 |        8.46e+001    | 
|      551 |        1.33e+002    | 
|      552 |        1.33e+002    | 
|      553 |       -1.02e+002    | 
|      554 |       -1.02e+002    | 
|      555 |       -3.37e+002    | 
|      556 |       -3.37e+002    | 
|      557 |        8.46e+001    | 
|      558 |        8.46e+001    | 
|      559 |       -1.09e+003    | 
|      560 |        4.17e+002    | 
|      561 |        5.15e+002    | 
|      562 |       -2.48e+002    | 
|      563 |        8.46e+001    | 
|      564 |        1.33e+002    | 
|      565 |        1.33e+002    | 
|      566 |       -1.02e+002    | 
